,rank,tripid,cityname_corrected,origin,dest,mean_trip_dist,mean_notraffic,mean_rush_hour,rush_vs_freeflow_diff,rush_vs_freeflow_pct,p90_rush_hour,p90_vs_freeflow
0,1,101622821,Toronto,"43.45908,-79.66448","43.653397,-79.38296",39.9,33.33,73.67,40.34,121.02,77.4,44.066666666666656
1,23,101634500,Vancouver,"49.254524,-123.11747","49.13831,-122.82736",38.4,39.87,71.71,31.84,79.87,78.23,38.36363636363637
2,43,303950241,Montreal,"45.751167,-73.598656","45.427303,-73.618225",53.9,45.26,75.58,30.33,67.01,83.33,38.069523809523815
3,1212,5273331,Oshawa,"43.628483,-79.39596","43.878773,-78.9387",60.1,63.18,80.95,17.77,28.12,102.57,39.38875000000001
4,1498,14162550,Calgary,"51.03615,-114.05375","51.163784,-114.1207",28.4,27.71,44.33,16.62,59.98,46.56,18.855
5,1503,13248751,Ottawa,"45.349422,-75.76914","45.422485,-75.693954",13.3,14.69,31.28,16.59,112.97,36.77,22.077450980392157
6,1530,14165270,Edmonton,"53.543312,-113.5034","53.4107,-113.53224",18.1,26.05,42.54,16.49,63.32,48.14,22.09444444444444
7,1627,5275061,St. Catharines-Niagara,"43.628483,-79.39596","43.20611,-79.2137",114.5,94.62,110.77,16.16,17.08,118.39,23.770925925925937
8,2057,304026560,Quebec,"46.74544,-71.229385","46.829834,-71.242775",24.3,18.76,33.46,14.69,78.3,39.18,20.419166666666673
9,3835,13240010,Hamilton,"43.249134,-79.84885","43.221622,-79.966606",13.8,16.85,27.44,10.59,62.87,40.39,23.543921568627454
10,3883,431141831,Windsor,"42.540005,-83.10445","42.30797,-82.8488",50.4,41.26,51.74,10.48,25.39,56.62,15.355964912280704
11,4009,304203940,Winnipeg,"49.94232,-97.17188","49.812008,-97.153",16.6,24.4,34.62,10.22,41.88,40.28,15.875476190476189
12,4450,101648810,Victoria,"48.42686,-123.35848","48.474453,-123.42097",10.4,16.51,25.96,9.45,57.2,29.3,12.789791666666666
13,5922,303902981,London,"42.938007,-81.20875","42.990013,-81.312775",14.6,20.53,28.03,7.5,36.51,31.42,10.885185185185186
14,6676,47250811,Kitchener-Cambridge-Waterloo,"43.59011,-80.556076","43.406975,-80.53206",30.6,23.71,30.42,6.71,28.29,35.81,12.094696969696972
15,9103,304039411,Saskatoon,"52.179768,-106.645874","52.134274,-106.74681",10.6,12.56,17.46,4.9,39.01,20.18,7.618333333333334
16,9498,303841661,Halifax,"44.63439,-63.56848","44.671516,-63.488144",14.7,23.14,27.79,4.65,20.08,29.47,6.324074074074076
