,route_id,travel_mode,mean_off_peak_duration_min,mean_peak_duration_min,p90_peak_duration_min,peak_vs_off_peak_mean_diff,p90_vs_off_peak_diff,notes
0,"Highway 401, Mississauga to Highway 401 and Don Valley Parkway, Toronto",DRIVE,39.693693693693696,47.94261006289308,62.0,8.248916369199385,22.306306306306304,
1,"Cloverdale, Surrey to Richmond/Vancouver",DRIVE,53.03612622415669,60.38532110091743,79.0,7.349194876760741,25.96387377584331,
2,"Port Coquitlam, BC to Richmond Sea Island, BC",DRIVE,50.405884995507634,55.14195583596214,70.0,4.736070840454509,19.594115004492366,
3,"Gardiner Expressway and Highway 427, Toronto to Downtown Toronto",DRIVE,18.62759222877101,21.996969696969696,27.0,3.369377468198685,8.372407771228989,
4,"The Beaches, Toronto, ON to CBC Toronto, Canadian Broadcasting Centre, 205 Wellington St W, Toronto, ON M5W 1E6",DRIVE,22.388738738738738,25.5,32.0,3.1112612612612622,9.611261261261262,Submitted by Dana Dragone
5,"49.1628474739296, -122.84518311047466 to Coquitlam",DRIVE,29.893353174603174,32.79774305555556,40.0,2.904389880952383,10.106646825396826,88th avenue in Surrey
6,"Stayner, Ontario L0M 1S0 to 43.67371164802397, -79.41517005007982",DRIVE,101.39603514305024,104.0243710691824,114.0,2.628335926132152,12.603964856949759,
7,"Larry Uteck, Halifax to Hospital in Halifax",DRIVE,16.672338568935427,19.191666666666666,26.0,2.51932809773124,9.327661431064573,
8,"Riverside South, Ottawa to Downtown Ottawa",DRIVE,26.44990176817289,28.96212121212121,35.0,2.5122194439483216,8.55009823182711,
9,"Bathurst and St. Clair, Toronto to 43.730149818930826, -79.4484314649261",DRIVE,17.933108108108108,20.412735849056602,27.0,2.4796277409484944,9.066891891891892,Submitted by Steven Dennis
10,"Orleans, Ottawa to Downtown Ottawa",DRIVE,21.189259986902425,23.52009097801365,32.0,2.330830991111224,10.810740013097575,
11,"53.51219525044683, -113.62989869565348 to 53.581124265285354, -113.49216173065435",DRIVE,19.74213129496403,21.600474683544302,30.0,1.8583433885802734,10.257868705035971,Submitted by Lauren Dombroski
12,"Barrhaven Centre Station, Ottawa to Campus Station, Ottawa",TRANSIT,70.22686025408349,72.01785714285714,80.30000000000001,1.7909968887736483,10.07313974591652,
13,"St. Norbert, Winnipeg to Polo Park, Winnipeg",TRANSIT,76.29076620825147,77.8486692015209,82.0,1.5579029932694368,5.709233791748531,
14,"Fleetwood, Surrey to Langley",DRIVE,28.464200217627855,29.928899082568808,36.0,1.464698864940953,7.535799782372145,
15,"St. Albert, AB to Downtown Edmonton, AB",DRIVE,27.0505845323741,28.397943037974684,34.0,1.3473585056005852,6.949415467625901,
16,"43.481393453134494, -79.97285174417762 to 43.83903876957066, -79.12450551817862",DRIVE,55.414414414414416,56.68055555555556,60.0,1.2661411411411407,4.585585585585584,Michaela's commute
17,"Kipling Ave & Eglinton Ave W, Etobicoke, ON M9R 1Y3 to 43.59347927593529, -79.64395436760626",DRIVE,15.827027027027027,17.072327044025158,20.0,1.2453000169981312,4.172972972972973,Submitted by Arie Smith
