rank,tripid,cityname_corrected,origin,dest,mean_trip_dist,mean_notraffic,mean_rush_hour,rush_vs_freeflow_diff,rush_vs_freeflow_pct,p90_rush_hour,p90_vs_freeflow
1,101622821,Toronto,"43.45908,-79.66448","43.653397,-79.38296",39.9,33.33,73.67,40.34,121.02,77.4,44.066666666666656
2,101615481,Toronto,"43.418945,-79.71838","43.652653,-79.38433",43.1,31.51,71.52,40.01,126.97,75.85,44.34456140350878
3,101627951,Toronto,"43.35732,-79.798035","43.64694,-79.38845",51.2,34.86,71.71,36.85,105.72,85.24,50.381304347826095
4,101612671,Toronto,"43.48599,-79.686455","43.658115,-79.38193",35.9,32.08,68.84,36.76,114.59,76.82,44.73461538461538
5,101622220,Toronto,"43.6529,-79.383644","43.72911,-79.75203",43.7,33.57,69.54,35.97,107.15,79.85,46.28020833333333
6,101621581,Toronto,"43.457336,-79.6583","43.655632,-79.390854",40.6,37.11,72.86,35.75,96.33,78.44,41.332499999999996
7,101608211,Toronto,"43.461823,-79.691605","43.654392,-79.382614",39.3,32.8,68.42,35.61,108.57,75.72,42.91458333333333
8,101627971,Toronto,"43.37529,-79.82035","43.65489,-79.37266",56.7,42.21,77.6,35.39,83.84,87.62,45.41416666666667
9,101619411,Toronto,"43.495205,-79.69126","43.65315,-79.3833",35.1,29.1,63.65,34.56,118.76,79.01,49.90923076923076
10,101609371,Toronto,"43.434155,-79.69401","43.653893,-79.38433",41.9,34.16,68.54,34.38,100.65,83.01,48.85698412698413
11,101627511,Toronto,"43.370296,-79.814514","43.65315,-79.3833",55.3,41.35,75.57,34.22,82.77,89.27,47.92238095238095
12,101608891,Toronto,"43.464813,-79.7304","43.653645,-79.38639",39.8,35.24,69.31,34.08,96.71,76.7,41.464814814814815
13,101624991,Toronto,"43.62383,-79.7407","43.65315,-79.382614",40.9,32.7,66.38,33.68,103.0,73.53,40.832564102564106
14,101621331,Toronto,"43.489227,-79.66757","43.653645,-79.38124",34.9,30.4,63.98,33.58,110.45,79.36,48.956875
15,101621741,Toronto,"43.347084,-79.82104","43.65116,-79.383644",54.7,39.89,73.41,33.51,84.0,82.27,42.37222222222222
16,101617511,Toronto,"43.894608,-79.32047","43.650665,-79.38227",36.5,31.14,64.24,33.1,106.3,72.47,41.327083333333334
17,101613581,Toronto,"43.86293,-79.41248","43.65017,-79.3809",33.1,27.3,60.07,32.78,120.07,78.51,51.209444444444436
18,101618830,Toronto,"43.64346,-79.37884","43.69015,-79.82962",50.7,40.61,73.23,32.62,80.33,81.85,41.238928571428566
