rank,tripid,cityname_corrected,origin,dest,trip_dist,mean_notraffic,mean_rush_hour,rush_vs_freeflow_diff,rush_vs_freeflow_pct,p90_rush_hour,p90_vs_freeflow
1,101617601,Toronto,"43.867138,-79.50793","43.65489,-79.385704",43.0,35.78,62.09,26.31,73.53,69.35,33.564375
2,101610311,Toronto,"43.821083,-79.34588","43.652157,-79.380554",22.8,18.95,40.18,21.22,111.97,51.27,32.31269841269841
3,303928020,Montreal,"45.50147,-73.46785","45.694843,-73.66869",38.5,31.76,51.82,20.06,63.17,67.24,35.481269841269835
4,304101661,Toronto,"43.401985,-79.76679","43.648182,-79.45746",41.1,26.67,45.53,18.86,70.71,54.93,28.255555555555553
5,101636931,Vancouver,"49.299095,-122.79921","49.240627,-123.11095",33.2,35.46,52.34,16.88,47.59,55.8,20.33294117647059
6,304156470,Vancouver,"49.11764,-122.86204","49.22628,-122.941",19.8,21.22,36.23,15.01,70.71,39.31,18.092222222222222
7,14182640,Vancouver,"49.25273,-123.11198","49.236145,-122.90907",18.7,21.92,36.14,14.22,64.86,51.09,29.168650793650794
8,431073181,Montreal,"45.53017,-73.60811","45.704674,-73.618225",29.5,27.1,40.76,13.67,50.43,54.03,26.932083333333335
9,303925231,Montreal,"45.483418,-73.721565","45.472343,-73.61273",10.6,9.62,23.25,13.63,141.72,26.88,17.257916666666667
10,304158710,Vancouver,"49.22897,-122.91182","49.264156,-123.22012",26.8,34.57,47.83,13.26,38.36,50.87,16.295098039215688
11,101549911,Montreal,"45.456932,-73.46064","45.50315,-73.59385",15.7,22.2,35.21,13.01,58.63,37.42,15.223703703703706
12,101608350,Toronto,"43.64843,-79.37678","43.783173,-79.32322",20.7,20.32,32.86,12.54,61.71,41.86,21.53676470588235
13,5272410,Montreal,"45.47114,-73.6965","45.410896,-73.685",13.2,14.05,26.05,12.0,85.45,36.08,22.035185185185178
14,45585900,Montreal,"45.49136,-73.742165","45.49203,-73.63268",14.6,13.48,25.21,11.73,87.05,30.2,16.720370370370375
15,101624031,Toronto,"43.75367,-79.319786","43.652405,-79.379524",16.2,16.04,27.7,11.67,72.76,34.36,18.327999999999996
16,14180541,Vancouver,"49.257435,-122.91216","49.257435,-123.1161",17.9,20.28,31.88,11.6,57.21,35.17,14.89035087719298
17,101627661,Toronto,"43.745235,-79.332146","43.65141,-79.37712",17.2,15.09,26.28,11.19,74.16,33.31,18.221111111111114
18,304132881,Vancouver,"49.239506,-123.02546","49.279613,-122.79303",25.2,22.88,33.1,10.22,44.67,47.54,24.65984126984127
19,303804980,Calgary,"50.992954,-113.98474","51.08427,-114.17597",23.7,22.37,32.42,10.05,44.93,36.54,14.175873015873012
20,101564940,Montreal,"45.505077,-73.59179","45.478844,-73.44656",18.2,25.27,35.19,9.92,39.26,43.87,18.599019607843136
21,201313971,Montreal,"45.478363,-73.749374","45.544044,-73.75075",12.7,15.92,25.53,9.61,60.39,37.5,21.582352941176467
22,14164971,Edmonton,"53.654144,-113.6373","53.543922,-113.50546",17.0,25.1,34.19,9.09,36.2,40.07,14.964583333333337
23,101623841,Toronto,"43.711,-79.31807","43.6529,-79.37884",13.1,16.35,25.39,9.04,55.28,29.73,13.380980392156864
24,304081120,Toronto,"43.870358,-79.2906","43.698093,-79.4966",37.0,24.74,33.65,8.91,36.01,38.39,13.642549019607848
25,101511381,Edmonton,"53.629314,-113.58374","53.542698,-113.503746",15.3,23.03,31.72,8.69,37.73,34.18,11.152222222222221
26,14183240,Vancouver,"49.259453,-123.11884","49.125954,-123.09824",17.5,19.87,28.43,8.55,43.05,36.53,16.65444444444444
27,101554801,Montreal,"45.594036,-73.544754","45.507484,-73.57222",10.5,23.45,31.86,8.4,35.84,34.81,11.358039215686276
28,53804101,Montreal,"45.505947,-73.663284","45.577217,-73.83589",20.6,17.68,25.89,8.21,46.41,37.48,19.80222222222222
29,201357691,Toronto,"43.86318,-79.52406","43.887432,-79.377464",13.8,20.3,28.23,7.94,39.1,30.81,10.51323529411765
30,303997691,Ottawa,"45.416218,-75.61533","45.358833,-75.767426",17.7,12.15,20.06,7.91,65.09,30.93,18.775740740740744
31,13250680,Ottawa,"45.425858,-75.68709","45.36173,-75.77498",12.9,12.06,19.95,7.89,65.42,26.37,14.309259259259264
32,303800211,Calgary,"51.01672,-114.04036","51.145912,-114.068855",19.6,18.75,26.52,7.77,41.42,39.32,20.56907407407408
33,12338811,Toronto,"43.687172,-79.36648","43.644703,-79.3833",11.3,13.8,21.54,7.74,56.11,26.63,12.834166666666668
34,304086991,Toronto,"43.594498,-79.60097","43.607426,-79.71152",14.1,14.9,22.56,7.66,51.4,26.06,11.160416666666666
35,53836151,Toronto,"43.68765,-79.60966","43.72961,-79.52475",10.6,7.73,15.33,7.61,98.43,17.3,9.572549019607845
36,304078660,Toronto,"43.57236,-79.7225","43.73978,-79.75237",24.5,20.41,27.95,7.54,36.96,35.77,15.359166666666667
37,201373070,Toronto,"43.86219,-79.52097","43.882484,-79.36991",13.6,19.47,27.0,7.53,38.67,28.97,9.499999999999996
38,201307231,Montreal,"45.557507,-73.49154","45.58298,-73.54235",11.3,15.5,22.91,7.41,47.78,26.63,11.13137254901961
39,303952610,Montreal,"45.472584,-73.47403","45.52168,-73.5554",13.9,14.22,21.62,7.4,52.0,29.94,15.71719298245614
40,101501211,Calgary,"51.15862,-114.04276","51.03464,-114.05718",21.4,20.75,27.98,7.23,34.84,37.39,16.644791666666666
41,304089371,Toronto,"43.765076,-79.37815","43.745483,-79.252495",13.1,11.54,18.74,7.2,62.35,24.29,12.750196078431372
42,304122951,Toronto,"43.731594,-79.224","43.690895,-79.359955",13.8,20.31,27.49,7.19,35.4,29.58,9.268750000000004
43,201368880,Toronto,"43.568382,-79.75958","43.451855,-79.663795",19.3,16.95,24.12,7.17,42.28,27.65,10.7
44,14166961,Edmonton,"53.655773,-113.630775","53.54413,-113.505806",16.6,24.42,31.54,7.12,29.17,35.91,11.494126984126979
45,303919731,Montreal,"45.516624,-73.77306","45.516865,-73.69135",13.5,16.64,23.75,7.11,42.72,30.02,13.377272727272725
46,431030531,Calgary,"51.03895,-114.07137","51.113163,-114.08053",10.5,15.53,22.63,7.1,45.72,31.46,15.932666666666668
47,304013440,Quebec,"46.850266,-71.329636","46.815975,-71.12364",39.6,29.02,36.1,7.08,24.4,45.18,16.15833333333333
48,304088071,Toronto,"43.38901,-79.768166","43.567886,-79.58586",28.0,19.22,26.25,7.03,36.57,31.64,12.42269841269841
49,304083810,Toronto,"43.71075,-79.70156","43.69263,-79.47634",30.5,22.36,29.38,7.02,31.4,32.08,9.715000000000003
50,304093971,Toronto,"43.587284,-79.57762","43.6529,-79.669975",13.1,15.27,22.27,7.0,45.86,25.15,9.883333333333331
51,49173601,Calgary,"51.07275,-114.05609","50.97069,-114.07641",18.0,16.46,23.36,6.9,41.95,30.12,13.659259259259258
52,304087351,Toronto,"43.696106,-79.61779","43.743004,-79.54157",12.7,14.21,21.11,6.9,48.54,24.78,10.574074074074076
53,101500380,Calgary,"51.049538,-114.05718","50.945606,-114.02834",19.3,17.79,24.69,6.89,38.74,30.78,12.99074074074074
54,53842471,Vancouver,"49.185356,-122.80309","49.254524,-122.74531",17.0,17.28,24.12,6.84,39.59,28.03,10.749259259259262
55,304139231,Vancouver,"49.24018,-122.88401","49.273117,-123.0955",19.6,18.43,25.26,6.83,37.05,26.48,8.050634920634923
56,101501020,Calgary,"51.046947,-114.05581","50.93306,-114.00946",19.9,16.65,23.44,6.8,40.82,27.76,11.112037037037037
57,304075340,Toronto,"43.731346,-79.769196","43.9542,-79.465355",55.7,39.53,46.32,6.79,17.18,50.21,10.682500000000005
58,303786100,Calgary,"51.14182,-114.13752","51.063564,-113.9305",21.3,20.34,27.11,6.77,33.3,31.53,11.192500000000003
59,303859320,Hamilton,"43.250633,-79.83237","43.263386,-79.98583",15.7,24.27,30.94,6.67,27.47,32.75,8.47986111111111
60,13255250,Toronto,"43.650417,-79.379524","43.739532,-79.381584",14.7,20.19,26.84,6.66,32.97,29.0,8.809545454545454
61,304095870,Toronto,"43.870853,-79.51582","43.89238,-79.41351",13.5,17.42,24.01,6.59,37.87,25.72,8.307777777777776
62,14163431,Calgary,"50.907303,-114.060616","51.04047,-114.06199",16.6,19.66,26.23,6.57,33.42,28.95,9.296315789473685
63,53769110,Calgary,"51.156895,-114.09529","51.039223,-114.061455",20.1,20.93,27.49,6.55,31.31,29.11,8.177708333333332
64,304088700,Toronto,"43.832973,-79.430336","43.557934,-79.679245",52.7,33.07,39.6,6.53,19.74,42.75,9.685555555555553
65,101498501,Calgary,"50.90146,-114.05993","51.04479,-114.058556",16.3,18.57,25.09,6.52,35.11,28.34,9.766666666666666
