cityname,tripid,origin,dest,trip_dist,mean_notraffic,mean_rush_hour,rush_vs_freeflow_diff,p90_rush_hour
Calgary,303804980,"50.992954,-113.98474","51.08427,-114.17597",23.7,22.37,32.42,10.05,36.54
Calgary,303800211,"51.01672,-114.04036","51.145912,-114.068855",19.6,18.75,26.52,7.77,39.32
Calgary,101501211,"51.15862,-114.04276","51.03464,-114.05718",21.4,20.75,27.98,7.23,37.39
Edmonton,14164971,"53.654144,-113.6373","53.543922,-113.50546",17.0,25.1,34.19,9.09,40.07
Edmonton,101511381,"53.629314,-113.58374","53.542698,-113.503746",15.3,23.03,31.72,8.69,34.18
Edmonton,14166961,"53.655773,-113.630775","53.54413,-113.505806",16.6,24.42,31.54,7.12,35.91
Halifax,101522241,"44.6554,-63.486427","44.653446,-63.59114",17.3,19.46,22.9,3.43,24.84
Halifax,303855790,"44.65711,-63.640923","44.66712,-63.557495",12.8,15.32,17.65,2.33,18.75
Halifax,101517511,"44.691776,-63.59114","44.641476,-63.585648",10.9,15.53,17.81,2.28,20.22
Hamilton,303859320,"43.250633,-79.83237","43.263386,-79.98583",15.7,24.27,30.94,6.67,32.75
Hamilton,101526811,"43.252384,-79.9721","43.250134,-79.84644",11.1,20.06,26.37,6.31,29.66
Hamilton,13240951,"43.258137,-79.9721","43.251637,-79.84919",11.5,18.84,25.08,6.24,29.0
Kitchener-Cambrigde-Waterloo,13242571,"43.514378,-80.50356","43.42468,-80.51249",18.5,14.94,18.46,3.53,22.48
Kitchener-Cambrigde-Waterloo,303882720,"43.481506,-80.54236","43.426426,-80.4912",11.0,13.87,17.35,3.48,18.31
Kitchener-Cambrigde-Waterloo,13242601,"43.510643,-80.4991","43.422935,-80.520386",17.8,14.14,17.46,3.32,20.6
London,303913640,"43.042477,-81.24548","42.958363,-81.24617",13.0,17.65,22.69,5.04,26.07
London,101542281,"43.05176,-81.24445","42.97595,-81.23347",10.2,14.47,19.33,4.86,21.38
London,101542650,"42.9762,-81.24205","43.04624,-81.24205",10.8,15.57,19.58,4.01,20.84
Montréal,303928020,"45.50147,-73.46785","45.694843,-73.66869",38.5,31.76,51.82,20.06,67.24
Montréal,431073181,"45.53017,-73.60811","45.704674,-73.618225",29.5,27.1,40.76,13.67,54.03
Montréal,303925231,"45.483418,-73.721565","45.472343,-73.61273",10.6,9.62,23.25,13.63,26.88
Oshawa,13247620,"43.89337,-78.84806","43.907223,-78.972",18.7,14.23,18.25,4.01,20.27
Oshawa,13248101,"43.9097,-78.97303","43.897823,-78.850464",19.9,15.88,19.71,3.83,23.33
Oshawa,13247621,"43.907223,-78.972","43.89337,-78.84806",19.6,15.53,19.36,3.82,21.88
Ottawa,303997691,"45.416218,-75.61533","45.358833,-75.767426",17.7,12.15,20.06,7.91,30.93
Ottawa,13250680,"45.425858,-75.68709","45.36173,-75.77498",12.9,12.06,19.95,7.89,26.37
Ottawa,303982320,"45.472584,-75.773605","45.494972,-75.71696",12.6,9.22,15.32,6.11,25.53
Québec,304013440,"46.850266,-71.329636","46.815975,-71.12364",39.6,29.02,36.1,7.08,45.18
Québec,101587151,"46.76261,-71.34955","46.814095,-71.22149",13.2,15.46,21.73,6.27,26.81
Québec,304013580,"46.771313,-71.32311","46.81574,-71.17342",27.0,20.19,25.9,5.71,31.49
Saskatoon,304039411,"52.179768,-106.645874","52.134274,-106.74681",10.6,12.39,16.58,4.19,18.11
Saskatoon,12332140,"52.11256,-106.6215","52.149864,-106.66407",10.6,11.43,14.8,3.37,16.01
Saskatoon,5274700,"52.101173,-106.59575","52.174587,-106.700485",21.1,23.74,26.93,3.19,27.67
St. Catharines-Niagara,304061570,"43.196846,-79.21198","43.131237,-79.24769",10.1,14.3,17.78,3.48,19.33
St. Catharines-Niagara,304061541,"43.177822,-79.24254","43.113194,-79.20374",10.6,11.81,14.79,2.98,16.27
St. Catharines-Niagara,101599561,"43.10041,-79.20065","43.166557,-79.24872",15.0,13.93,16.89,2.96,18.23
Toronto,101617601,"43.867138,-79.50793","43.65489,-79.385704",43.0,35.78,62.09,26.31,69.35
Toronto,101610311,"43.821083,-79.34588","43.652157,-79.380554",22.8,18.95,40.18,21.22,51.27
Toronto,304101661,"43.401985,-79.76679","43.648182,-79.45746",41.1,26.67,45.53,18.86,54.93
Vancouver,101636931,"49.299095,-122.79921","49.240627,-123.11095",33.2,35.46,52.34,16.88,55.8
Vancouver,304156470,"49.11764,-122.86204","49.22628,-122.941",19.8,21.22,36.23,15.01,39.31
Vancouver,14182640,"49.25273,-123.11198","49.236145,-122.90907",18.7,21.92,36.14,14.22,51.09
Windsor,53850391,"42.313602,-83.12544","42.2907,-83.06544",10.3,13.24,17.58,4.34,18.96
Windsor,14184141,"42.3166,-82.84056","42.278507,-83.013596",16.8,15.53,19.23,3.7,21.08
Windsor,14184241,"42.30289,-82.826485","42.28359,-83.008446",16.8,15.63,19.16,3.53,20.85
Winnipeg,13262771,"49.80536,-97.11661","49.8959,-97.128624",11.2,16.86,22.84,5.98,27.03
Winnipeg,101654290,"49.89568,-97.126564","49.88307,-97.27934",12.7,18.67,24.18,5.51,27.24
Winnipeg,101656730,"49.89988,-97.14201","49.82242,-97.082275",10.9,16.82,22.25,5.44,27.09
